Iohannes Antonius Pantheus	<Giovanni Antonio Panteo>	Annotationes ex trium dierum confabulationibus de thermis Caldarianis
Iohannes Boccaccius	<Giovanni Boccaccio>	De Canaria et insulis reliquis ultra Hispaniam noviter repertis
Iohannes Boccaccius	<Giovanni Boccaccio>	De montibus, lacubus, fluminibus, stagnis et paludibus, et de nominibus maris
Iohannes Caballini de Cerronibus	<Giovanni Cavallini dei Cerroni>	Polistoria de virtutibus et dotibus Romanorum
Iohannes Chrysostomus Zanchus	<Giovanni Crisostomo Zanchi>	De origine Orobiorum sive Cenomanorum
Iohannes Fedanzola Perusinus	<Giovanni Fedanzola>	Descriptio Terre Sancte
Iohannes Lagenator de Francofordia	<Iohannes de Francfordia, Johannes von Frankfurt>	Itinerarius
Iohannes Lupus de Palaciis Rubeis	<Juan Lopez de Palacios Rubios>	Insularum maris oceani tractatus
Iohannes Poloner	<John Poloner, Giovanni Poloner>	Descriptio Terrae Sanctae
Iohannes Porta de Annoniaco	<Johannes Porta de Avvoniaco, Jean Porta d'Annonay, Jean Porta, Jean d'Annonay, Jean La Porte, Giovanni Porta di Annonay>	Itinerarium cardinalis
Iohannes Teuxburiensis	<John of Tewkesbury>	De situ universorum
Iohannes Wirzburgensis	<Johannes von Würzburg>	Descriptio Terrae Sanctae
Iohannes de Cermenate	<Giovanni da Cermenate>	Historia de situ Ambrosianae urbis
Iohannes de Dondis ab Horologio	<Giovanni Dondi dell'Orologio>	Iter Romanum
Iohannes de Galonifontibus	<Jean de Gaillefontaine>	Libellus de notitia orbis
Iohannes de Mandavilla	<Jean de Mandeville, Iohannes de Sancto Albano, Iohannes Magnovillanus, Iohannes Magdovillanus>	Itinerarius a terra Anglie in partes Iherosolomitanas et in ulteriores marinas
Iohannes de Marignollis	<Giovanni de' Marignolli>	Chronicon Bohemorum
Iohannes de Meerhout	<Johannes Meerhout>	Tractatulus de laude terrae Brabantiae
Iohannes de Mussis	<Giovanni de' Mussi>	Placentinae urbis ac nonnullarum nobilium tum in ea, tum per Italiam familiarum descriptio
Iohannes de Plano Carpini	<Giovanni da Pian del Carpine>	Historia Mongalorum
Iohannes de Sancto Homero	<Audomaro, Johannes von Sankt Omer>	Impugnatio descriptionis Northfolchiae
Ionas Bobiensis	<Giona di Bobbio>	Carmen de Hibernia insula
Isidorus Hispalensis episcopus	<Isidoro di Siviglia, Isidoro Ispanico>	Etymologiarum libri XX
Iulianus frater	<Iulianus Hungarus, Frate Giuliano>	Epistola de vita Tartarorum
Iulius Pomponius Laetus	<Giulio Pomponio Leto>	De regionibus et Urbis vetustatibus descriptio
Ladislao Sunthaym	<Ladislaus Sunthaym>	Topographia Austriae
Lambertus Audomarensis canonicus	<Lambert de Saint-Omer, Lamberto di Saint-Omer>	Liber floridus
Leo Baptista Albertus	<Leon Battista Alberti>	Descriptio urbis Romae
Leonardus Brunus	< Leonardus Brunus Aretinus,  Leonardus Aretinus, Leonardo Bruni>	De temporibus suis
Leonardus Brunus	< Leonardus Brunus Aretinus,  Leonardus Aretinus, Leonardo Bruni>	Epistola de origine urbis Mantuae
Leonardus Brunus	< Leonardus Brunus Aretinus,  Leonardus Aretinus, Leonardo Bruni>	Epistola de peregrinatione ad urbem Constantiam (IV 3)
Leonardus Brunus	< Leonardus Brunus Aretinus,  Leonardus Aretinus, Leonardo Bruni>	Historiae Florentini populi
Leonardus Brunus	< Leonardus Brunus Aretinus,  Leonardus Aretinus, Leonardo Bruni>	Laudatio Florentinae urbis
Leonardus Brunus	< Leonardus Brunus Aretinus,  Leonardus Aretinus, Leonardo Bruni>	Vetustatis reliquae Arimini urbis quae sint
Lucianus Cestrensis monachus	<Lucian of Chester, Luciano di Chester>	De laude Cestriae
Ludolphus de Sudheim	<Ludolf von Sudheim, Ludolf von Suchem, Ludolfo di Suthen, Ludolfo di Suchen, Ludolfo di Sudheim>	De itinere Terrae Sanctae
Ludovicus Pasinus	<Ludovico Pasini>	Liber in quo de thermis Patavinis ac quibusdam aliis Italiae balneis tractatur
Ludovicus de Blasere	<Ludovico Blaserio, Lodewijk de Blasere, Ludovicus Blaserius>	Itinerarium profectionis in Terram Sanctam, Aegyptum, Syriam aliasque Asiaticas et Europaeas regiones
Ludovicus de Rupe Cavardi	<Louis de Rochechouard>	Itinerarium in Terram Sanctam
Ludovicus de Varthema	<Ludovicus Vertomannus, Ludovico di Varthema>	Novum itinerarium Aethiopiae, Aegipti, utriusque Arabiae, Persidis, Siriae, ac Indiae intra et extra
Mapheus Vegius Laudensis	<Maffeo Vegio di Lodi>	De rebus antiquis memorabilibus basilicae Sancti Petri Romae
Marcus Antonius Sabellicus	<Marcantonio Coccio, Marcantonio Sabellico>	De Venetae urbis situ et vetustate
Marcus Antonius Sabellicus	<Marcantonio Coccio, Marcantonio Sabellico>	De vetustate Aquileiae et Foriiulii libri VI
Marcus Paulus Venetus	<Marco Polo>	Il Milione (versio latina)
Marianus de Florentia	<Mariano di Firenze>	Itinerarium urbis Romae
Marinus Sanutus Torsellus	<Marinus Sanutus Torxellus, Marin Sanudo Torsello>	Conditiones Terrae Sanctae
Marinus Sanutus Torsellus	<Marinus Sanutus Torxellus, Marin Sanudo Torsello>	Liber secretorum fidelium Crucis
Marinus Sanutus Torsellus	<Marinus Sanutus Torxellus, Marin Sanudo Torsello>	Opus Terrae Sanctae
Marinus de Fregeno	<Marino di Fregeno>	Descriptio provinciarum Alamannorum
Matthaeus Parisiensis	<Matteo di Parigi>	Iter de Londinio in Terram Sanctam
Matthaeus Parisiensis	<Matteo di Parigi>	Tabulae geographicae
